fips_full,geographic_id,tract_id,location_name,year,black_population,total_population,black_percent,black_pop_change,black_pop_pct_change,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001003302,G1100010003302,003302,Tract   33.02,1970,2673,2699,0.9903668025194516,NA,NA,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,State: 11 County: 001 Tract: 33.02,1980,2727,2818,0.9677075940383252,54,2.0202020202020203,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,Tract 33.02,1990,1860,1991,0.934203917629332,-867,-31.79317931793179,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,Census Tract 33.02,2000,1675,1830,0.9153005464480874,-185,-9.946236559139784,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,Census Tract 33.02,2010,1216,2134,0.569821930646673,-459,-27.40298507462687,003302,003302,003302,0,NA,NA,NA,NA
11001003302,G1100010003302,003302,Census Tract 33.02,2020,738,2434,0.3032046014790468,-478,-39.30921052631579,003302,003302,003302,0,NA,NA,NA,NA
11001004801,G1100010004801,004801,Tract   48.01,1970,3640,3661,0.994263862332696,NA,NA,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,State: 11 County: 001 Tract: 48.01,1980,1874,1963,0.9546612328069282,-1766,-48.51648351648352,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Tract 48.01,1990,1925,2155,0.8932714617169374,51,2.72145144076841,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Census Tract 48.01,2000,1448,1876,0.7718550106609808,-477,-24.77922077922078,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Census Tract 48.01,2010,961,2143,0.4484367708819412,-487,-33.63259668508287,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001004801,G1100010004801,004801,Census Tract 48.01,2020,759,2820,0.2691489361702128,-202,-21.019771071800207,004801,004801,004801,10,The Girl Who Raised Pigeons | The Store | The Sunday Following Mother's Day | Lost in the City,Howard Theater | Al?s and Penny?s Groceries | Bundy Elementary School | 5th Street & O Street NW | 5th Street NW | Q Street NW | O Street NW | Agnes's Family Home,Setting | Marker | Route,Theater | Store | School | Street | House
11001010800,G1100010010800,010800,Census Tract 108.00,2010,279,6408,0.04353932584269663,NA,NA,010800,010800,010800,1,The Girl Who Raised Pigeons,Interior Department,Projected Space,Government Office
11001010800,G1100010010800,010800,Census Tract 108,2020,657,6879,0.09550806803314436,378,135.48387096774192,010800,010800,010800,1,The Girl Who Raised Pigeons,Interior Department,Projected Space,Government Office
11001006801,G1100010006801,006801,Tract   68.01,1970,3306,3458,0.956043956043956,NA,NA,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,G1100010006801,006801,State: 11 County: 001 Tract: 68.01,1980,2626,2811,0.9341871220206333,-680,-20.568663036902603,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,G1100010006801,006801,Tract 68.01,1990,2217,2418,0.9168734491315136,-409,-15.575019040365577,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,G1100010006801,006801,Census Tract 68.01,2000,1847,1997,0.9248873309964948,-370,-16.689219666215607,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,G1100010006801,006801,Census Tract 68.01,2010,1192,1949,0.6115956900974859,-655,-35.462912831618844,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001006801,G1100010006801,006801,Census Tract 68.01,2020,765,2238,0.3418230563002681,-427,-35.822147651006716,006801,006801,006801,2,An Orange Line Train to Ballston | A New Man,19th Street | Independence Street and 15th Street NW,Route | Setting,Street
11001007406,G1100010007406,007406,State: 11 County: 001 Tract: 74.06,1980,3290,3296,0.9981796116504854,NA,NA,007406,007406,007406,0,NA,NA,NA,NA
