fips_full,census_tract,total_crime,violent_crime,property_crime,year,tract_id,geography,source,data_type,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001010100,010100,386,44,342,2010,010100,tract,DC Open Data Crime Incidents,crime_counts_by_tract,010100,010100,010100,13,Young Lions | An Orange Line Train to Ballston | The Sunday Following Mother's Day | Lost in the City | Marie,Riggs Bank | M Street NW | McPherson Square Metro Stop | 14th Street NW | Franklin Square Park | 13th Street NW | Thompson School | Franklin Square | McPherson Square | The Buckingham | Trader Vic?s | 14th Street and K Street NW,Setting | Route,Bank | Street | Subway Station | Park | School | Hotel | Restaurant | Bus Stop
11001010100,010100,358,NA,NA,2020,010100,tract,NA,NA,010100,010100,010100,13,Young Lions | An Orange Line Train to Ballston | The Sunday Following Mother's Day | Lost in the City | Marie,Riggs Bank | M Street NW | McPherson Square Metro Stop | 14th Street NW | Franklin Square Park | 13th Street NW | Thompson School | Franklin Square | McPherson Square | The Buckingham | Trader Vic?s | 14th Street and K Street NW,Setting | Route,Bank | Street | Subway Station | Park | School | Hotel | Restaurant | Bus Stop
11001009604,009604,92,14,78,2010,009604,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009604,009604,009604,1,The Store,Benning Road,Setting,Street
11001009604,009604,86,NA,NA,2020,009604,tract,NA,NA,009604,009604,009604,1,The Store,Benning Road,Setting,Street
11001010602,010602,336,NA,NA,2020,010602,tract,NA,NA,010602,010602,010602,1,The Night Rhonda Ferguson Was Killed,8th and H Streets NE,Route,Street
11001006400,006400,123,35,88,2010,006400,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006400,006400,006400,0,NA,NA,NA,NA
11001006400,006400,84,NA,NA,2020,006400,tract,NA,NA,006400,006400,006400,0,NA,NA,NA,NA
11001004201,004201,98,20,78,2010,004201,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004201,004201,004201,0,NA,NA,NA,NA
11001004201,004201,82,NA,NA,2020,004201,tract,NA,NA,004201,004201,004201,0,NA,NA,NA,NA
11001008402,008402,211,47,164,2010,008402,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008402,008402,008402,3,The Night Rhonda Ferguson Was Killed | The Store | Lost in the City,Mile Long,Setting | Marker,Restaurant
11001008402,008402,179,NA,NA,2020,008402,tract,NA,NA,008402,008402,008402,3,The Night Rhonda Ferguson Was Killed | The Store | Lost in the City,Mile Long,Setting | Marker,Restaurant
11001009802,009802,66,19,47,2010,009802,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009802,009802,009802,0,NA,NA,NA,NA
11001009802,009802,62,NA,NA,2020,009802,tract,NA,NA,009802,009802,009802,0,NA,NA,NA,NA
11001008804,008804,151,41,110,2010,008804,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008804,008804,008804,0,NA,NA,NA,NA
11001008804,008804,220,NA,NA,2020,008804,tract,NA,NA,008804,008804,008804,0,NA,NA,NA,NA
11001009803,009803,194,44,150,2010,009803,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009803,009803,009803,0,NA,NA,NA,NA
11001009803,009803,106,NA,NA,2020,009803,tract,NA,NA,009803,009803,009803,0,NA,NA,NA,NA
11001002102,002102,216,44,172,2010,002102,tract,DC Open Data Crime Incidents,crime_counts_by_tract,002102,002102,002102,0,NA,NA,NA,NA
11001002102,002102,144,NA,NA,2020,002102,tract,NA,NA,002102,002102,002102,0,NA,NA,NA,NA
11001004901,004901,126,38,88,2010,004901,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004901,004901,004901,10,The Night Rhonda Ferguson Was Killed | Young Lions | The Sunday Following Mother's Day | Gospel | A New Man,P Street NW | Shiloh Baptist Church | Joyce and Pearl's Apartment | French Street NW | 9th Street NW | Caesar's Childhood Home | 11th Street NW | Cleopatra?s Hair Emporium | S Street NW | Woodrow's Apartment,Route | Marker | Setting | NA,Street | Church | Apartment | House | Business
11001004901,004901,156,NA,NA,2020,004901,tract,NA,NA,004901,004901,004901,10,The Night Rhonda Ferguson Was Killed | Young Lions | The Sunday Following Mother's Day | Gospel | A New Man,P Street NW | Shiloh Baptist Church | Joyce and Pearl's Apartment | French Street NW | 9th Street NW | Caesar's Childhood Home | 11th Street NW | Cleopatra?s Hair Emporium | S Street NW | Woodrow's Apartment,Route | Marker | Setting | NA,Street | Church | Apartment | House | Business
11001008302,008302,143,24,119,2010,008302,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008302,008302,008302,1,The Night Rhonda Ferguson Was Killed,8th Street NE,Route,Street
11001008302,008302,199,NA,NA,2020,008302,tract,NA,NA,008302,008302,008302,1,The Night Rhonda Ferguson Was Killed,8th Street NE,Route,Street
11001005502,005502,165,NA,NA,2020,005502,tract,NA,NA,005502,005502,005502,6,Young Lions | The Sunday Following Mother's Day,Dupont Circle NW | American Security | Dupont Circle Park | Peoples Drug | Dupont Circle | Hartnett Hall,Route | Setting | Marker,Street | Bank | Park | Store | House
11001009901,009901,96,20,76,2010,009901,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009901,009901,009901,0,NA,NA,NA,NA
11001009901,009901,98,NA,NA,2020,009901,tract,NA,NA,009901,009901,009901,0,NA,NA,NA,NA
11001007504,007504,201,69,132,2010,007504,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007504,007504,007504,1,The Night Rhonda Ferguson Was Killed,Anacostia,Zone of Action,Neighborhood
11001007504,007504,95,NA,NA,2020,007504,tract,NA,NA,007504,007504,007504,1,The Night Rhonda Ferguson Was Killed,Anacostia,Zone of Action,Neighborhood
11001004002,004002,208,46,162,2010,004002,tract,DC Open Data Crime Incidents,crime_counts_by_tract,004002,004002,004002,0,NA,NA,NA,NA
11001004002,004002,115,NA,NA,2020,004002,tract,NA,NA,004002,004002,004002,0,NA,NA,NA,NA
11001005900,005900,126,21,105,2010,005900,tract,DC Open Data Crime Incidents,crime_counts_by_tract,005900,005900,005900,1,His Mother's House,Judiciary House,Setting,Apartment
11001005900,005900,102,NA,NA,2020,005900,tract,NA,NA,005900,005900,005900,1,His Mother's House,Judiciary House,Setting,Apartment
11001006700,006700,158,14,144,2010,006700,tract,DC Open Data Crime Incidents,crime_counts_by_tract,006700,006700,006700,1,Gospel,Diane's House,Setting,House
11001006700,006700,119,NA,NA,2020,006700,tract,NA,NA,006700,006700,006700,1,Gospel,Diane's House,Setting,House
11001007403,007403,150,46,104,2010,007403,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007403,007403,007403,0,NA,NA,NA,NA
11001007403,007403,99,NA,NA,2020,007403,tract,NA,NA,007403,007403,007403,0,NA,NA,NA,NA
11001007301,007301,2,0,2,2010,007301,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007301,007301,007301,0,NA,NA,NA,NA
11001007301,007301,1,NA,NA,2020,007301,tract,NA,NA,007301,007301,007301,0,NA,NA,NA,NA
